city,country,continent,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group,wbt_continent_wbt
Buizhou,China,Asia,118.125,37.5,11,Cwa,"Temperate, dry winter, hot summer",115893,Medium (50k-500k),21.597876
Buizhou,China,Asia,118.125,37.56987959,11,Cwa,"Temperate, dry winter, hot summer",115893,Medium (50k-500k),21.597876
Buizhou,China,Asia,118.125,37.56987959,11,Cwa,"Temperate, dry winter, hot summer",115893,Medium (50k-500k),21.597876
Buizhou,China,Asia,118.125,37.67308963,11,Cwa,"Temperate, dry winter, hot summer",115893,Medium (50k-500k),7.0065584
Tangshan,China,Asia,118.125,39.74009906,11,Cwa,"Temperate, dry winter, hot summer",1879000,Very Large (>1M),25.756763
Tangshan,China,Asia,118.125,39.81285237,11,Cwa,"Temperate, dry winter, hot summer",1879000,Very Large (>1M),2.2266917
Tangshan,China,Asia,118.125,39.81285237,11,Cwa,"Temperate, dry winter, hot summer",1879000,Very Large (>1M),2.2266917
Tangshan,China,Asia,118.125,39.92181607,21,Dwa,"Cold, dry winter, hot summer",1879000,Very Large (>1M),2.2266917
Chengde,China,Asia,118.125,40.67515858,21,Dwa,"Cold, dry winter, hot summer",449325,Medium (50k-500k),-4.5888143
Chengde,China,Asia,118.125,40.93433832,21,Dwa,"Cold, dry winter, hot summer",449325,Medium (50k-500k),-4.5888143
Chengde,China,Asia,118.125,40.93433832,21,Dwa,"Cold, dry winter, hot summer",449325,Medium (50k-500k),-4.5888143
Chengde,China,Asia,118.125,41.25,21,Dwa,"Cold, dry winter, hot summer",449325,Medium (50k-500k),-4.5888143
Linxi,China,Asia,118.125,43.25419467,7,BSk,"Arid, steppe, cold",679,Small (<50k),-1.6459098
Linxi,China,Asia,118.125,43.4803362,7,BSk,"Arid, steppe, cold",679,Small (<50k),19.063387
Linxi,China,Asia,118.125,43.75,7,BSk,"Arid, steppe, cold",679,Small (<50k),11.894381
Linxi,China,Asia,118.125,43.83345858,7,BSk,"Arid, steppe, cold",679,Small (<50k),-8.027753
Linxi,China,Asia,118.125,43.83346176,7,BSk,"Arid, steppe, cold",679,Small (<50k),-8.027753
Krasnokamensk,Russia,Europe,118.125,49.90621184,7,BSk,"Arid, steppe, cold",54316,Medium (50k-500k),1.7413746
Krasnokamensk,Russia,Europe,118.125,49.90621184,7,BSk,"Arid, steppe, cold",54316,Medium (50k-500k),1.7413746
Krasnokamensk,Russia,Europe,118.125,50,7,BSk,"Arid, steppe, cold",54316,Medium (50k-500k),1.7413746
Krasnokamensk,Russia,Europe,118.125,50.02574349,7,BSk,"Arid, steppe, cold",54316,Medium (50k-500k),1.7413746
Maanshan,China,Asia,118.75,31.57068063,14,Cfa,"Temperate, no dry season, hot summer",1366302,Very Large (>1M),9.193794
Shuyang,China,Asia,118.75,34.39790576,11,Cwa,"Temperate, dry winter, hot summer",1770000,Very Large (>1M),30.286076
Southern Cross,Australia,Oceania,119.0625,-31.3245577,4,BWh,"Arid, desert, hot",187,Small (<50k),15.508237
Majene,Indonesia,Asia,119.0625,-3.272716221,1,Af,"Tropical, rainforest",272377,Medium (50k-500k),28.693542
Majene,Indonesia,Asia,119.0625,-3.125,1,Af,"Tropical, rainforest",272377,Medium (50k-500k),28.693542
Putian,China,Asia,119.0625,25.625,14,Cfa,"Temperate, no dry season, hot summer",376558,Medium (50k-500k),30.55756
Putian,China,Asia,119.0625,25.71419264,14,Cfa,"Temperate, no dry season, hot summer",376558,Medium (50k-500k),30.55756
Nanjing,China,Asia,119.0625,31.875,14,Cfa,"Temperate, no dry season, hot summer",3679000,Very Large (>1M),9.193794
Nanjing,China,Asia,119.0625,32.25961827,14,Cfa,"Temperate, no dry season, hot summer",3679000,Very Large (>1M),9.193794
Shuyang,China,Asia,119.0625,34.12973913,11,Cwa,"Temperate, dry winter, hot summer",1770000,Very Large (>1M),30.286076
Lianyungang,China,Asia,119.0625,34.375,11,Cwa,"Temperate, dry winter, hot summer",715600,Large (500k-1M),30.286076
