city,country,continent,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group,wbt_continent_wbt
Antsohihy,Madagascar,Africa,47.8125,-14.70805736,3,Aw,"Tropical, savannah",21290,Small (<50k),26.535538
Antsohihy,Madagascar,Africa,47.8125,-14.49345653,3,Aw,"Tropical, savannah",21290,Small (<50k),26.535538
Gaalkacyo,Somalia,Africa,47.8125,6.875,4,BWh,"Arid, desert, hot",61200,Medium (50k-500k),22.043978
Gaalkacyo,Somalia,Africa,47.8125,6.976533554,4,BWh,"Arid, desert, hot",61200,Medium (50k-500k),21.437897
Al Jahra,Kuwait,Asia,47.8125,29.30135962,4,BWh,"Arid, desert, hot",194193,Medium (50k-500k),16.573803
Al Jahra,Kuwait,Asia,47.8125,29.375,4,BWh,"Arid, desert, hot",194193,Medium (50k-500k),22.909267
Az Aubayr,Iraq,Asia,47.8125,30.11647993,4,BWh,"Arid, desert, hot",262219,Medium (50k-500k),14.8475685
Az Aubayr,Iraq,Asia,47.8125,30.38949705,4,BWh,"Arid, desert, hot",262219,Medium (50k-500k),14.376539
Basra,Iraq,Asia,47.8125,30.625,4,BWh,"Arid, desert, hot",870000,Large (500k-1M),14.376539
Bijar,Iran,Asia,47.8125,35.625,7,BSk,"Arid, steppe, cold",53871,Medium (50k-500k),9.936304
Bijar,Iran,Asia,47.8125,35.71953248,7,BSk,"Arid, steppe, cold",53871,Medium (50k-500k),-0.033248097
Bijar,Iran,Asia,47.8125,35.99985958,7,BSk,"Arid, steppe, cold",53871,Medium (50k-500k),-0.033248097
Goycay,Azerbaijan,Asia,47.8125,40.46364818,6,BSh,"Arid, steppe, hot",35348,Small (<50k),8.539859
Goycay,Azerbaijan,Asia,47.8125,40.625,6,BSh,"Arid, steppe, hot",35348,Small (<50k),20.14353
Goycay,Azerbaijan,Asia,47.8125,40.67515858,7,BSk,"Arid, steppe, cold",35348,Small (<50k),20.14353
Astrakhan,Russia,Europe,47.8125,46.28551215,5,BWk,"Arid, desert, cold",502533,Large (500k-1M),13.636862
Balakovo,Russia,Europe,47.8125,51.875,7,BSk,"Arid, steppe, cold",199572,Medium (50k-500k),-6.551376
Balakovo,Russia,Europe,47.8125,51.89585745,7,BSk,"Arid, steppe, cold",199572,Medium (50k-500k),-6.551376
Kanash,Russia,Europe,47.8125,55.625,25,Dfa,"Cold, no dry season, hot summer",49886,Small (<50k),16.694832
Kanash,Russia,Europe,47.8125,55.636081,25,Dfa,"Cold, no dry season, hot summer",49886,Small (<50k),16.694832
Yoshkar Ola,Russia,Europe,47.8125,56.57113579,25,Dfa,"Cold, no dry season, hot summer",324406,Medium (50k-500k),19.682018
Yoshkar Ola,Russia,Europe,47.8125,56.7308565,25,Dfa,"Cold, no dry season, hot summer",324406,Medium (50k-500k),19.682018
Yoshkar Ola,Russia,Europe,47.8125,56.875,25,Dfa,"Cold, no dry season, hot summer",324406,Medium (50k-500k),-3.7629955
Mananjary,Madagascar,Africa,48,-21.26582278,1,Af,"Tropical, rainforest",27686,Small (<50k),24.15797
Antsohihy,Madagascar,Africa,48,-15.18987342,3,Aw,"Tropical, savannah",21290,Small (<50k),19.03386
