city,country,continent,lon,lat,Change_Factor_DSI,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Az Aubayr,Iraq,Asia,47.8125,30.38949705,0,BWh,"Arid, desert, hot",262219,Medium (50k-500k)
Behbehan,Iran,Asia,50.625,30.38949705,0,BSh,"Arid, steppe, hot",85707,Medium (50k-500k)
Yasuj,Iran,Asia,51.5625,30.38949705,0,Csa,"Temperate, dry summer, hot summer (Mediterranean)",96786,Medium (50k-500k)
Kerman,Iran,Asia,57.1875,30.38949705,0,BWh,"Arid, desert, hot",577514,Large (500k-1M)
Multan,Pakistan,Asia,71.25,30.38949705,0,BWh,"Arid, desert, hot",1522000,Very Large (>1M)
Sahiwal,Pakistan,Asia,73.125,30.38949705,0,BWh,"Arid, desert, hot",235695,Medium (50k-500k)
Abohar,India,Asia,74.0625,30.38949705,0,BWh,"Arid, desert, hot",130603,Medium (50k-500k)
Ambala,India,Asia,76.875,30.38949705,0,Cwa,"Temperate, dry winter, hot summer",146787,Medium (50k-500k)
Dehra Dun,India,Asia,77.8125,30.38949705,0,Cwa,"Temperate, dry winter, hot summer",714223,Large (500k-1M)
Chengdu,China,Asia,104.0625,30.38949705,0,Cwa,"Temperate, dry winter, hot summer",4123000,Very Large (>1M)
Suining,China,Asia,105.9375,30.38949705,0,Cwa,"Temperate, dry winter, hot summer",1425000,Very Large (>1M)
Zicheng,China,Asia,111.5625,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",237042,Medium (50k-500k)
Jingzhou,China,Asia,112.5,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",520000,Large (500k-1M)
Xiantao,China,Asia,113.4375,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",1556000,Very Large (>1M)
Wuhan,China,Asia,114.375,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",7243000,Very Large (>1M)
Huangshi,China,Asia,115.3125,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",688090,Large (500k-1M)
Anqing,China,Asia,117.1875,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",580497,Large (500k-1M)
Hangzhou,China,Asia,120,30.38949705,0,Cfa,"Temperate, no dry season, hot summer",3007000,Very Large (>1M)
Magdalena,Mexico,North America,-110.625,30.38949705,0,BSh,"Arid, steppe, hot",23359,Small (<50k)
Nacozari de García,Mexico,North America,-109.6875,30.38949705,0,BSh,"Arid, steppe, hot",11872,Small (<50k)
